Наименование НП;Уровень Бюджета;Едницы измерения;2019;2020;2021;2022;2023;2024
НП "Международная кооперация и экспорт";из них межбюджетные трансферты;млрд. рублей;2.01;6.61;4.41;8.32;0.0;0.0
НП "Международная кооперация и экспорт";консолидированные бюджеты субъектов РФ;млрд. рублей;2.08;6.84;4.47;8.57;0.0;0.0
НП "Международная кооперация и экспорт";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Международная кооперация и экспорт";внебюджетные источники;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
Комплексный план модернизации и расширения магистральной инфраструктуры на период до 2024 года;Всего;млрд. рублей;824.59;1098.42;1257.21;1541.13;1448.49;875.66
Комплексный план модернизации и расширения магистральной инфраструктуры на период до 2024 года;федеральный бюджет;млрд. рублей;293.87;379.44;404.5;673.67;692.27;610.45
Комплексный план модернизации и расширения магистральной инфраструктуры на период до 2024 года;из них межбюджетные трансферты;млрд. рублей;4.02;30.0;36.01;43.94;16.27;10.13
Комплексный план модернизации и расширения магистральной инфраструктуры на период до 2024 года;консолидированные бюджеты субъектов РФ;млрд. рублей;56.87;45.16;57.52;67.11;54.56;33.59
Комплексный план модернизации и расширения магистральной инфраструктуры на период до 2024 года;бюджеты государственных внебюджетных фондов;млрд. рублей;80.0;0.0;0.0;0.0;0.0;0.0
Комплексный план модернизации и расширения магистральной инфраструктуры на период до 2024 года;внебюджетные источники;млрд. рублей;397.87;703.83;831.2;844.28;717.93;241.75
НП "Демография";федеральный бюджет;млрд. рублей;498.37;636.55;632.28;600.71;474.23;441.83
НП "Демография";Всего;млрд. рублей;528.28;661.24;658.34;626.31;494.82;464.0
НП "Демография";из них межбюджетные трансферты;млрд. рублей;491.12;616.26;609.69;563.13;446.57;415.99
НП "Демография";консолидированные бюджеты субъектов РФ;млрд. рублей;187.04;315.92;297.67;279.96;158.09;160.55
НП "Демография";бюджеты государственных внебюджетных фондов;млрд. рублей;333.99;325.02;338.08;308.77;309.07;277.6
НП "Демография";внебюджетные источники;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Здравоохранение";Всего;млрд. рублей;178.46;337.4;269.22;278.33;236.74;235.53
НП "Здравоохранение";федеральный бюджет;млрд. рублей;157.15;315.52;252.63;262.44;218.57;217.46
НП "Здравоохранение";из них межбюджетные трансферты;млрд. рублей;142.68;277.38;218.81;230.22;182.15;190.23
НП "Здравоохранение";консолидированные бюджеты субъектов РФ;млрд. рублей;78.14;163.38;79.81;90.81;45.28;53.45
НП "Здравоохранение";бюджеты государственных внебюджетных фондов;млрд. рублей;85.86;135.89;155.58;155.29;155.04;154.85
НП "Здравоохранение";внебюджетные источники;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Образование";Всего;млрд. рублей;116.63;132.74;143.54;129.29;128.91;133.34
НП "Образование";федеральный бюджет;млрд. рублей;106.22;122.7;133.32;119.17;118.79;123.12
НП "Образование";из них межбюджетные трансферты;млрд. рублей;60.91;82.84;76.96;62.82;62.93;66.13
НП "Образование";консолидированные бюджеты субъектов РФ;млрд. рублей;66.93;92.31;85.08;71.22;70.38;73.59
НП "Образование";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Образование";внебюджетные источники;млрд. рублей;2.23;2.48;2.59;2.68;2.68;2.76
НП "Жилье и городская среда";Всего;млрд. рублей;117.57;132.91;131.31;225.61;230.34;227.89
НП "Жилье и городская среда";федеральный бюджет;млрд. рублей;98.78;113.04;108.36;189.13;192.05;188.98
НП "Жилье и городская среда";из них межбюджетные трансферты;млрд. рублей;62.25;76.42;71.74;76.87;80.89;85.3
НП "Жилье и городская среда";консолидированные бюджеты субъектов РФ;млрд. рублей;81.04;96.29;92.88;111.53;117.3;122.32
НП "Жилье и городская среда";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Жилье и городская среда";внебюджетные источники;млрд. рублей;0.0;0.0;1.81;1.81;1.89;1.89
НП "Экология";Всего;млрд. рублей;211.12;587.7;677.91;899.02;896.56;845.24
НП "Экология";федеральный бюджет;млрд. рублей;36.9;90.23;121.05;149.16;152.98;123.24
НП "Экология";из них межбюджетные трансферты;млрд. рублей;31.2;44.74;62.92;80.97;94.41;76.04
НП "Экология";консолидированные бюджеты субъектов РФ;млрд. рублей;41.04;53.24;69.81;89.87;111.28;89.3
НП "Экология";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Экология";внебюджетные источники;млрд. рублей;164.4;488.97;549.97;740.97;726.69;708.75
НП "Безопасные и качественные автомобильные дороги";Всего;млрд. рублей;1007.85;613.93;693.17;780.05;873.45;981.79
НП "Безопасные и качественные автомобильные дороги";федеральный бюджет;млрд. рублей;138.25;108.33;124.77;23.86;19.15;18.39
НП "Безопасные и качественные автомобильные дороги";из них межбюджетные трансферты;млрд. рублей;122.44;88.87;104.79;8.5;8.5;8.5
НП "Безопасные и качественные автомобильные дороги";консолидированные бюджеты субъектов РФ;млрд. рублей;952.73;563.17;639.9;730.4;830.6;942.6
НП "Безопасные и качественные автомобильные дороги";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Безопасные и качественные автомобильные дороги";внебюджетные источники;млрд. рублей;39.3;31.3;33.3;34.3;32.2;29.3
НП "Производительность труда и поддержка занятости";Всего;млрд. рублей;8.3;12.06;11.0;12.1;12.62;13.21
НП "Производительность труда и поддержка занятости";федеральный бюджет;млрд. рублей;6.22;9.83;8.82;9.55;10.13;10.71
НП "Производительность труда и поддержка занятости";из них межбюджетные трансферты;млрд. рублей;3.6;6.24;5.65;5.95;6.39;6.82
НП "Производительность труда и поддержка занятости";консолидированные бюджеты субъектов РФ;млрд. рублей;5.67;6.47;5.83;6.1;6.92;4.42
НП "Производительность труда и поддержка занятости";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Производительность труда и поддержка занятости";внебюджетные источники;млрд. рублей;0.0;2.0;2.0;2.4;2.4;2.4
НП "Наука";Всего;млрд. рублей;50.48;66.39;76.55;107.01;148.08;188.48
НП "Наука";федеральный бюджет;млрд. рублей;37.72;47.27;55.14;76.36;97.9;91.41
НП "Наука";из них межбюджетные трансферты;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Наука";консолидированные бюджеты субъектов РФ;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Наука";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Наука";внебюджетные источники;млрд. рублей;12.76;19.12;21.41;30.64;50.18;97.07
НП "Цифровая экономика Российской Федерации";Всего;млрд. рублей;74.95;475.69;296.35;415.0;246.96;212.49
НП "Цифровая экономика Российской Федерации";федеральный бюджет;млрд. рублей;73.89;150.91;177.85;258.01;233.28;198.4
НП "Цифровая экономика Российской Федерации";из них межбюджетные трансферты;млрд. рублей;0.06;2.48;0.25;0.15;0.0;0.0
НП "Цифровая экономика Российской Федерации";консолидированные бюджеты субъектов РФ;млрд. рублей;0.06;2.48;0.25;0.15;0.0;0.0
НП "Цифровая экономика Российской Федерации";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Цифровая экономика Российской Федерации";внебюджетные источники;млрд. рублей;1.06;324.79;118.45;156.99;13.68;14.09
НП "Культура";Всего;млрд. рублей;21.47;17.83;20.79;23.8;22.57;20.98
НП "Культура";федеральный бюджет;млрд. рублей;14.03;17.3;20.29;23.21;21.92;20.36
НП "Культура";из них межбюджетные трансферты;млрд. рублей;0.2;7.36;8.02;10.42;10.85;10.26
НП "Культура";консолидированные бюджеты субъектов РФ;млрд. рублей;7.63;7.89;8.53;11.01;11.51;10.89
НП "Культура";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Культура";внебюджетные источники;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы";Всего;млрд. рублей;64.55;60.98;56.06;100.35;107.99;89.81
НП "Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы";федеральный бюджет;млрд. рублей;47.81;53.98;47.45;87.95;94.24;75.62
НП "Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы";из них межбюджетные трансферты;млрд. рублей;31.4;23.41;14.31;32.01;34.71;18.8
НП "Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы";консолидированные бюджеты субъектов РФ;млрд. рублей;42.84;23.91;15.02;34.41;37.17;20.08
НП "Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы";бюджеты государственных внебюджетных фондов;млрд. рублей;0.0;0.0;0.0;0.0;0.0;0.0
НП "Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы";внебюджетные источники;млрд. рублей;5.3;6.5;7.9;10.0;11.3;12.9
НП "Международная кооперация и экспорт";Всего;млрд. рублей;78.25;89.64;134.55;227.58;208.39;179.15
НП "Международная кооперация и экспорт";федеральный бюджет;млрд. рублей;78.18;89.42;134.49;227.33;208.39;179.15
